n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
1000,0.05,0.9,5,ns3::TcpLinuxReno,2,181540,3407,31784,993,993,944,0.944,1,3014.06,760304,4167
1000,0.05,0.9,6,ns3::TcpLinuxReno,2,183580,3446,31880,996,996,940,0.94,1,3014.06,757368,4142
1000,0.05,0.9,7,ns3::TcpLinuxReno,2,184228,3459,31848,995,995,947,0.947,1,3014.06,752748,4132
1000,0.05,0.9,8,ns3::TcpLinuxReno,2,182744,3431,31752,992,992,937,0.937,1,3014.06,755808,4132
1000,0.05,0.9,9,ns3::TcpLinuxReno,2,179628,3370,31816,994,994,934,0.934,1,3014.06,756076,4146
1000,0.05,0.9,10,ns3::TcpLinuxReno,2,185652,3486,31848,995,995,952,0.952,1,3014.06,761884,4150
1000,0.1,0.9,1,ns3::TcpLinuxReno,2,202444,3805,31112,972,972,862,0.862,0,0,780560,4246
1000,0.1,0.9,2,ns3::TcpLinuxReno,2,203172,3817,31208,975,975,857,0.857,0,0,786520,4271
1000,0.1,0.9,3,ns3::TcpLinuxReno,2,199120,3740,31336,979,979,870,0.87,0,0,786620,4264
1000,0.1,0.9,4,ns3::TcpLinuxReno,2,200832,3772,31208,975,975,876,0.876,0,0,775860,4253
1000,0.1,0.9,5,ns3::TcpLinuxReno,2,199620,3750,31144,973,973,887,0.887,0,0,776568,4257
1000,0.1,0.9,6,ns3::TcpLinuxReno,2,204264,3836,31336,979,979,871,0.871,0,0,788764,4266
1000,0.1,0.9,7,ns3::TcpLinuxReno,2,208088,3910,31208,975,975,872,0.872,0,0,774828,4253
1000,0.1,0.9,8,ns3::TcpLinuxReno,2,203884,3831,31272,977,977,873,0.873,0,0,782120,4247
1000,0.1,0.9,9,ns3::TcpLinuxReno,2,200668,3768,31272,977,977,857,0.857,0,0,784764,4267
1000,0.1,0.9,10,ns3::TcpLinuxReno,2,205156,3855,31208,975,975,875,0.875,0,0,790528,4270
