n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
250,0.01,0.9,9,ns3::TcpLinuxReno,2,41072,770,8008,250,250,247,0.988,1,14.0616,183084,1010
250,0.01,0.9,10,ns3::TcpLinuxReno,2,42068,789,8008,250,250,249,0.996,1,14.0616,182520,1009
250,0.01,0.9,11,ns3::TcpLinuxReno,2,41204,773,8008,250,250,248,0.992,1,14.0616,181112,1002
250,0.01,0.9,12,ns3::TcpLinuxReno,2,40424,758,8008,250,250,250,1,1,14.0616,183988,1008
250,0.01,0.9,13,ns3::TcpLinuxReno,2,41576,780,8008,250,250,247,0.988,1,14.0616,182296,1005
250,0.01,0.9,14,ns3::TcpLinuxReno,2,41880,786,8008,250,250,247,0.988,1,14.0616,183932,1007
250,0.01,0.9,15,ns3::TcpLinuxReno,2,41056,770,8008,250,250,248,0.992,1,14.0616,182972,1008
250,0.01,0.9,16,ns3::TcpLinuxReno,2,41220,773,8008,250,250,248,0.992,1,14.0616,182352,1006
250,0.01,0.9,17,ns3::TcpLinuxReno,2,41368,776,8008,250,250,247,0.988,1,14.0616,182972,1008
250,0.01,0.9,18,ns3::TcpLinuxReno,2,40700,763,8008,250,250,245,0.98,1,14.0616,181900,1007
250,0.01,0.9,19,ns3::TcpLinuxReno,2,40988,769,8008,250,250,247,0.988,1,14.0616,182184,1003
250,0.01,0.9,20,ns3::TcpLinuxReno,2,40944,768,8008,250,250,248,0.992,1,14.0616,181732,1004
250,0.05,0.9,1,ns3::TcpLinuxReno,2,46460,872,7976,249,249,229,0.916,1,3014.06,188384,1032
250,0.05,0.9,2,ns3::TcpLinuxReno,2,44564,836,7976,249,249,242,0.968,1,3014.06,191652,1045
250,0.05,0.9,3,ns3::TcpLinuxReno,2,46592,874,7976,249,249,239,0.956,1,3014.06,190524,1043
250,0.05,0.9,4,ns3::TcpLinuxReno,2,48032,903,8008,250,250,241,0.964,1,3014.06,187588,1036
250,0.05,0.9,5,ns3::TcpLinuxReno,2,46280,870,7944,248,248,239,0.956,1,3014.06,188952,1033
250,0.05,0.9,6,ns3::TcpLinuxReno,2,45944,862,7912,247,247,235,0.94,1,3014.06,190984,1042
250,0.05,0.9,7,ns3::TcpLinuxReno,2,44784,840,8008,250,250,241,0.964,1,1014.06,183644,1020
250,0.05,0.9,8,ns3::TcpLinuxReno,2,45652,856,8008,250,250,242,0.968,1,3014.06,188432,1042
250,0.05,0.9,9,ns3::TcpLinuxReno,2,46712,876,7976,249,249,235,0.94,1,3014.06,189396,1041
250,0.05,0.9,10,ns3::TcpLinuxReno,2,45064,845,8008,250,250,236,0.944,1,3014.06,189844,1040
250,0.05,0.9,11,ns3::TcpLinuxReno,2,46344,870,7912,247,247,232,0.928,1,3014.06,189972,1033
250,0.05,0.9,12,ns3::TcpLinuxReno,2,45572,856,7912,247,247,234,0.936,1,3014.06,191212,1037
250,0.05,0.9,13,ns3::TcpLinuxReno,2,45176,848,7976,249,249,238,0.952,1,3014.06,187200,1029
250,0.05,0.9,14,ns3::TcpLinuxReno,2,48500,912,8008,250,250,241,0.964,1,3014.06,191144,1036
250,0.05,0.9,15,ns3::TcpLinuxReno,2,46620,876,7944,248,248,236,0.944,1,3014.06,187992,1034
250,0.05,0.9,16,ns3::TcpLinuxReno,2,45740,859,8008,250,250,242,0.968,1,3014.06,187252,1030
250,0.05,0.9,17,ns3::TcpLinuxReno,2,46176,867,7944,248,248,227,0.908,1,3014.06,189628,1036
250,0.05,0.9,18,ns3::TcpLinuxReno,2,46828,879,7944,248,248,234,0.936,1,3014.06,188496,1043
250,0.05,0.9,19,ns3::TcpLinuxReno,2,45380,852,7976,249,249,236,0.944,1,3014.06,190868,1031
250,0.05,0.9,20,ns3::TcpLinuxReno,2,45696,858,8008,250,250,239,0.956,1,3014.06,190748,1038
250,0.1,0.9,1,ns3::TcpLinuxReno,2,50712,952,7880,246,246,214,0.856,0,0,194704,1063
250,0.1,0.9,2,ns3::TcpLinuxReno,2,50732,953,7848,245,245,219,0.876,0,0,197132,1070
250,0.1,0.9,3,ns3::TcpLinuxReno,2,52556,987,7848,245,245,220,0.88,0,0,194536,1069
250,0.1,0.9,4,ns3::TcpLinuxReno,2,52492,987,7848,245,245,220,0.88,0,0,199724,1080
250,0.1,0.9,5,ns3::TcpLinuxReno,2,52292,984,7784,243,243,223,0.892,0,0,195056,1060
250,0.1,0.9,6,ns3::TcpLinuxReno,2,48760,915,7752,242,242,223,0.892,0,0,196864,1065
250,0.1,0.9,7,ns3::TcpLinuxReno,2,50692,952,7944,248,248,222,0.888,0,0,190692,1055
250,0.1,0.9,8,ns3::TcpLinuxReno,2,51828,973,7944,248,248,230,0.92,1,4014.06,194860,1075
250,0.1,0.9,9,ns3::TcpLinuxReno,2,54356,1020,7752,242,242,221,0.884,0,0,199508,1085
250,0.1,0.9,10,ns3::TcpLinuxReno,2,49760,933,7784,243,243,220,0.88,0,0,197988,1067
250,0.1,0.9,11,ns3::TcpLinuxReno,2,49644,932,7784,243,243,216,0.864,0,0,196692,1062
250,0.1,0.9,12,ns3::TcpLinuxReno,2,48460,911,7560,236,236,215,0.86,0,0,195484,1049
250,0.1,0.9,13,ns3::TcpLinuxReno,2,50340,945,7880,246,246,229,0.916,1,3014.06,193916,1058
250,0.1,0.9,14,ns3::TcpLinuxReno,2,51504,969,7912,247,247,225,0.9,1,7014.06,198256,1063
